patch_index,log_spectral_distance_db,spectral_convergence,normalized_rms_difference
241,13.038623992330026,1.397338433481406,1.4134673618542148
242,4.1385026596907454e-05,5.531535989293099e-08,0.0
243,5.946396241939001,0.4417015528852252,1.149045330291468
244,0.00026807542551757007,4.812577659610273e-08,0.0
245,2.6393024254284182e-05,4.43303855693421e-08,0.0
246,6.065129592031545e-05,5.7738707308118704e-08,0.0
248,0.00010387038092576336,4.604197673636422e-08,0.0
249,9.674040295402847,1.3492974492719834,1.412186622596177
250,3.291307892486645e-05,5.158706566817787e-08,0.0
251,7.551289104909716,1.3309790646972828,1.406152265107082
252,8.070004543648432e-05,5.632954892693874e-08,0.0
253,5.192635634244361e-05,4.5739616537494135e-08,0.0
254,0.0004905039858075605,5.0045020802915927e-08,0.0
255,0.00016379785201959746,5.380520509618171e-08,0.0
256,8.727248057798986,1.1011866131029187,1.4256804516104227
258,2.2370996942628288e-05,5.032144488696281e-08,0.0
259,4.841353892806519e-05,5.261786032058556e-08,0.0
260,8.866015957105066e-06,5.1213793365861033e-08,0.0
261,0.0001201121921171939,4.8755410568369676e-08,0.0
262,0.00013049068096545534,4.5539160063540024e-08,0.0
263,1.3217694766638183e-05,4.711049395514059e-08,0.0
264,9.149225832033483,1.2957646168536623,1.4187574561552359
265,6.401353265574412e-05,4.8244779502307735e-08,0.0
266,1.495381243701746e-05,5.115072247256692e-08,0.0
267,0.00011577317620676935,5.409503137926664e-08,0.0
268,5.366766983625435e-06,5.0532849986382045e-08,0.0
269,8.075973253159047e-05,5.153140355819797e-08,0.0
270,8.398344832256134,1.2138660579971563,1.4110392108436847
271,0.00023484557076476338,4.5409904355998025e-08,0.0
272,3.0703177303474386e-05,4.735779186874217e-08,0.0
273,8.272214021344861e-06,5.140764415167865e-08,0.0
274,1.6255584752717608e-05,5.3827668395143164e-08,0.0
275,0.0005514414631029501,5.15384576857416e-08,0.0
277,7.976247619204744e-05,5.0887261935541225e-08,0.0
278,2.684710489678052e-05,5.269656644543704e-08,0.0
279,7.488548321264732e-05,5.1110735922120656e-08,0.0
280,8.296263547812493e-06,5.090214557707916e-08,0.0
281,0.00010775492348336759,5.481193319464677e-08,0.0
282,4.063133424574686e-05,5.3113367041954477e-08,0.0
283,6.221313775841586e-05,4.8747521684338945e-08,0.0
285,2.3936901643972814e-05,4.486920759832643e-08,0.0
286,3.60124843429941e-05,5.0900739986168465e-08,0.0
289,5.230490114613832e-05,5.369484444200075e-08,0.0
290,2.5587544616375924e-05,5.065705320919589e-08,0.0
291,0.00027094942666551855,5.0076449516459505e-08,0.0
292,8.649818657712763e-06,5.131472978844996e-08,0.0
293,5.581649855594754e-05,5.1034199930869356e-08,0.0
294,8.159085945275852,1.0929834224001116,1.4638612849245454
295,7.364460105519117,0.6571476305936595,1.426916808836532
296,8.157072719912623,0.392823836975729,1.3230712668592324
297,0.00022911137541523424,5.005763297426149e-08,0.0
300,3.369308699304086e-05,5.063567452678793e-08,0.0
301,8.724310593064465e-05,4.951832845417344e-08,0.0
302,0.00016953491941984892,4.979959084244254e-08,0.0
303,7.515781119079154,1.196187505820704,1.38708488734913
304,3.926172482746702e-05,5.126518733893561e-08,0.0
305,4.866025908900018e-05,4.734258803999025e-08,0.0
306,2.5500518401517703e-05,5.2253390055024044e-08,0.0
307,7.333956773630167e-05,4.7536079359993924e-08,0.0
308,0.0001451498238271959,4.945453708380859e-08,0.0
309,1.3457655758215563e-05,5.0806103847591706e-08,0.0
310,4.704604513274824e-06,5.176265290709761e-08,0.0
312,3.153734116555903e-05,5.346129233845165e-08,0.0
313,5.138932075578496e-05,5.087285047814889e-08,0.0
314,7.187404762409666e-06,4.6726851715151023e-08,0.0
315,0.0002941493261424431,4.700044141466502e-08,0.0
316,4.966142531400624,0.3878987353940297,1.4205034671256085
317,2.72450649964023e-05,5.415589390426959e-08,0.0
318,1.613629668516338e-05,5.625382053871743e-08,0.0
319,5.994733258905895e-05,5.091949212322478e-08,0.0
320,2.101965554845438e-05,5.0301874022060506e-08,0.0
321,6.216217379324875,1.1157204208326772,1.4376258736393668
322,3.858101581767496e-05,5.4027846147983554e-08,0.0
323,1.4911506933279827e-05,4.894219643827072e-08,0.0
324,1.52512621370595e-05,4.81660879307395e-08,0.0
325,8.326790463186078e-05,4.903578988147658e-08,0.0
326,8.815976651789258e-05,4.980309311846278e-08,0.0
327,7.216367767976201,1.0829452372754527,1.4635768190648668
328,1.0259148748501492e-05,4.7773805571071276e-08,0.0
329,0.0005170511124109907,5.2003012389351356e-08,0.0
330,6.170789023539451e-06,5.200122789783859e-08,0.0
331,5.983546744997934e-06,5.04982641528965e-08,0.0
332,1.833820784293786e-05,4.7846190175267354e-08,0.0
335,3.126896894232655e-05,4.931531667419065e-08,0.0
336,6.478334723270147e-05,5.1130852309764577e-08,0.0
