patch_index,reuse_vs_pedalboard__log_spectral_distance_db,reuse_vs_pedalboard__spectral_convergence,reuse_vs_pedalboard__normalized_rms_difference,reload_vs_pedalboard__log_spectral_distance_db,reload_vs_pedalboard__spectral_convergence,reload_vs_pedalboard__normalized_rms_difference,reuse_vs_reload__log_spectral_distance_db,reuse_vs_reload__spectral_convergence,reuse_vs_reload__normalized_rms_difference
2357,7.617940951392313,1.3678643691069958,1.4127778103316535,7.233448398256582,1.1852675190499837,1.4029588976440521,6.147984504699707,1.2574623823165894,1.4350275993347168
2359,3.5012493144345444e-05,5.434118215084211e-08,0.0,3.5012493144345444e-05,5.434118215084211e-08,0.0,0.0,0.0,0.0
2360,6.896599137115255e-06,5.236049208285687e-08,0.0,6.896599137115255e-06,5.236049208285687e-08,0.0,0.0,0.0,0.0
2362,2.970645356420157e-05,5.046709973819155e-08,0.0,2.970645356420157e-05,5.046709973819155e-08,0.0,0.0,0.0,0.0
2363,8.027670306790334e-05,5.115792809554889e-08,0.0,8.027670306790334e-05,5.115792809554889e-08,0.0,0.0,0.0,0.0
2364,4.6823000864404884e-05,5.016722612663018e-08,0.0,4.6823000864404884e-05,5.016722612663018e-08,0.0,0.0,0.0,0.0
2365,0.00016250160146238782,4.89409215575307e-08,0.0,0.00016250160146238782,4.89409215575307e-08,0.0,0.0,0.0,0.0
2366,4.0119436099183566e-05,4.7401813552336546e-08,0.0,4.0119436099183566e-05,4.7401813552336546e-08,0.0,0.0,0.0,0.0
2367,2.977698550013469e-05,4.926045879743495e-08,0.0,2.977698550013469e-05,4.926045879743495e-08,0.0,0.0,0.0,0.0
2368,0.00011395618366104674,5.109594266680882e-08,0.0,0.00011395618366104674,5.109594266680882e-08,0.0,0.0,0.0,0.0
2369,0.00013199331865208777,4.212254756436791e-08,0.0,0.00013199331865208777,4.212254756436791e-08,0.0,0.0,0.0,0.0
2370,6.299999468449492e-05,5.545186745562089e-08,0.0,6.299999468449492e-05,5.545186745562089e-08,0.0,0.0,0.0,0.0
2371,8.514866948740096,0.49270027499865315,1.3022391772726822,8.93485856043983,0.5595750272413712,1.543556033425601,8.695497512817383,0.39369457960128784,1.5902137756347656
2372,8.771145300872218e-05,5.3146717766204635e-08,0.0,8.771145300872218e-05,5.3146717766204635e-08,0.0,0.0,0.0,0.0
2373,8.26970096170084e-06,5.042533389144318e-08,0.0,8.26970096170084e-06,5.042533389144318e-08,0.0,0.0,0.0,0.0
2374,1.747614694073033e-05,4.707790759808258e-08,0.0,1.747614694073033e-05,4.707790759808258e-08,0.0,0.0,0.0,0.0
2375,2.7627023257114498e-05,5.184686543370863e-08,0.0,2.7627023257114498e-05,5.184686543370863e-08,0.0,0.0,0.0,0.0
2376,3.191522183775164e-05,5.7735371583711265e-08,0.0,3.191522183775164e-05,5.7735371583711265e-08,0.0,0.0,0.0,0.0
2377,0.00033752121580773423,5.2568137182564874e-08,0.0,0.00033752121580773423,5.2568137182564874e-08,0.0,0.0,0.0,0.0
2378,7.329366426660114,1.40163975645714,1.416277577913084,9.669882800457064,1.3827454351631923,1.4122285627984597,9.717674255371094,1.383381724357605,1.4133001565933228
2379,2.5814314639977355e-05,5.431553143230001e-08,0.0,2.5814314639977355e-05,5.431553143230001e-08,0.0,0.0,0.0,0.0
2380,4.927980002458131e-05,4.918073050256099e-08,0.0,4.927980002458131e-05,4.918073050256099e-08,0.0,0.0,0.0,0.0
2381,7.75950639764196,1.1116993036372422,1.447607916115255,7.7312389097772085,1.2546945037607637,1.4159139377944063,8.004000663757324,1.386695146560669,1.4173396825790405
2382,7.1095461622692735,0.948899579437781,1.4225418123753968,7.5065149957641975,0.9924967107584395,1.3645244144223807,7.034795761108398,0.9057184457778931,1.3783737421035767
2383,6.725530670166396e-05,5.036729039747442e-08,0.0,6.725530670166396e-05,5.036729039747442e-08,0.0,0.0,0.0,0.0
2384,7.0705737117343426e-06,5.12433440125324e-08,0.0,7.0705737117343426e-06,5.12433440125324e-08,0.0,0.0,0.0,0.0
2385,5.792433475141548e-05,4.710451586188076e-08,0.0,5.792433475141548e-05,4.710451586188076e-08,0.0,0.0,0.0,0.0
2386,9.058628705939825e-06,5.363719359141017e-08,0.0,9.058628705939825e-06,5.363719359141017e-08,0.0,0.0,0.0,0.0
2387,1.0973980639420265e-05,5.805984740360633e-08,0.0,1.0973980639420265e-05,5.805984740360633e-08,0.0,0.0,0.0,0.0
2388,9.76870213709427,1.2240412653169002,1.4200932839925182,10.04328287740857,1.289749377339705,1.4061582311965692,10.028142929077148,1.3286058902740479,1.412878394126892
2389,5.547116998847817,1.1745505133671836,1.427948110668993,5.546253811943066,1.1502436546614312,1.3232792053353024,5.615328788757324,1.2442798614501953,1.4183156490325928
2390,9.398196912386137e-06,4.91281225067e-08,0.0,9.398196912386137e-06,4.91281225067e-08,0.0,0.0,0.0,0.0
2391,4.58588048480867e-06,5.029144862285588e-08,0.0,4.58588048480867e-06,5.029144862285588e-08,0.0,0.0,0.0,0.0
2392,11.667098800156467,1.2824876551006856,1.4153044628599303,10.90113171817989,1.2340775640259984,1.411152031013208,12.122190475463867,1.4057890176773071,1.4134629964828491
2396,4.669029686636248e-06,5.027907237462404e-08,0.0,4.669029686636248e-06,5.027907237462404e-08,0.0,0.0,0.0,0.0
2397,6.27355158703946e-05,4.868336399824703e-08,0.0,6.27355158703946e-05,4.868336399824703e-08,0.0,0.0,0.0,0.0
2398,6.74525306509835,1.2296302863916315,1.3893524302506317,6.747298033362154,1.1341412123654762,1.4131029715028112,6.474419116973877,1.2056788206100464,1.4048973321914673
2399,6.06920401576093e-05,4.9458197339768717e-08,0.0,6.06920401576093e-05,4.9458197339768717e-08,0.0,0.0,0.0,0.0
2400,6.120855998314425e-06,5.1550380207285106e-08,0.0,6.120855998314425e-06,5.1550380207285106e-08,0.0,0.0,0.0,0.0
2401,0.0007421048809725197,5.296593194368252e-08,0.0,0.0007421048809725197,5.296593194368252e-08,0.0,0.0,0.0,0.0
2402,6.378861053962828e-06,4.8289351629980066e-08,0.0,6.378861053962828e-06,4.8289351629980066e-08,0.0,0.0,0.0,0.0
2403,0.000227217028274616,5.126365173607898e-08,0.0,0.000227217028274616,5.126365173607898e-08,0.0,0.0,0.0,0.0
2404,1.7937877578383045e-05,5.051976613459343e-08,0.0,1.7937877578383045e-05,5.051976613459343e-08,0.0,0.0,0.0,0.0
2405,7.432388084645281,1.1799095891354658,1.4108606870213276,7.871623208312514,1.3655742077368616,1.4239038710367915,7.9215593338012695,1.3993381261825562,1.4130750894546509
2406,3.331518121697046e-05,4.7490093832626965e-08,0.0,3.331518121697046e-05,4.7490093832626965e-08,0.0,0.0,0.0,0.0
2407,1.3419235646971813e-05,4.9356313665196843e-08,0.0,1.3419235646971813e-05,4.9356313665196843e-08,0.0,0.0,0.0,0.0
2408,0.00017581340389249153,5.20890306179148e-08,0.0,0.00017581340389249153,5.20890306179148e-08,0.0,0.0,0.0,0.0
2409,3.274948862075832e-05,4.583947765689312e-08,0.0,3.274948862075832e-05,4.583947765689312e-08,0.0,0.0,0.0,0.0
2410,3.185701340468734e-05,5.00212400121053e-08,0.0,3.185701340468734e-05,5.00212400121053e-08,0.0,0.0,0.0,0.0
2411,3.49223857227264e-05,4.0442565106107054e-08,0.0,3.49223857227264e-05,4.0442565106107054e-08,0.0,0.0,0.0,0.0
2412,9.837529214222178e-05,5.308236348017336e-08,0.0,9.837529214222178e-05,5.308236348017336e-08,0.0,0.0,0.0,0.0
2413,3.4863452966676735e-05,5.099797057226579e-08,0.0,3.4863452966676735e-05,5.099797057226579e-08,0.0,0.0,0.0,0.0
2415,0.00012313645925157165,4.9707376430059714e-08,0.0,0.00012313645925157165,4.9707376430059714e-08,0.0,0.0,0.0,0.0
2416,3.686201583471479e-05,4.747135778425733e-08,0.0,3.686201583471479e-05,4.747135778425733e-08,0.0,0.0,0.0,0.0
2417,4.651026551266712e-05,4.67387346504367e-08,0.0,4.651026551266712e-05,4.67387346504367e-08,0.0,0.0,0.0,0.0
2418,0.00030303506653251073,4.998451785738343e-08,0.0,0.00030303506653251073,4.998451785738343e-08,0.0,0.0,0.0,0.0
2419,0.00014546638295635296,5.683983276327567e-08,0.0,0.00014546638295635296,5.683983276327567e-08,0.0,0.0,0.0,0.0
2420,4.119227815047159e-06,4.887648254919246e-08,0.0,4.119227815047159e-06,4.887648254919246e-08,0.0,0.0,0.0,0.0
2421,1.3226675897975608e-05,4.146118371331817e-08,0.0,1.3226675897975608e-05,4.146118371331817e-08,0.0,0.0,0.0,0.0
2422,4.810823842512936e-05,4.956749861409605e-08,0.0,4.810823842512936e-05,4.956749861409605e-08,0.0,0.0,0.0,0.0
2423,2.492314443896391e-05,5.263456513951968e-08,0.0,2.492314443896391e-05,5.263456513951968e-08,0.0,0.0,0.0,0.0
2424,3.112499740872051e-05,5.3541151071532423e-08,0.0,3.112499740872051e-05,5.3541151071532423e-08,0.0,0.0,0.0,0.0
2425,8.19466235036728e-06,5.55893684122333e-08,0.0,8.19466235036728e-06,5.55893684122333e-08,0.0,0.0,0.0,0.0
2426,0.00040842028828343336,4.011469155962317e-08,0.0,0.00040842028828343336,4.011469155962317e-08,0.0,0.0,0.0,0.0
2427,5.957176697176543e-05,5.3193450370186164e-08,0.0,5.957176697176543e-05,5.3193450370186164e-08,0.0,0.0,0.0,0.0
2428,3.111380786417831e-05,4.863627989226589e-08,0.0,3.111380786417831e-05,4.863627989226589e-08,0.0,0.0,0.0,0.0
2429,3.4275515034697805e-05,5.948085166712358e-08,0.0,3.4275515034697805e-05,5.948085166712358e-08,0.0,0.0,0.0,0.0
2430,4.100243642088334e-05,5.117455744607433e-08,0.0,4.100243642088334e-05,5.117455744607433e-08,0.0,0.0,0.0,0.0
2431,7.263527246658141,0.6935790814228645,1.54104479114112,7.317183784110373,0.7417680070339796,1.4407323503469307,7.318253517150879,0.9567111730575562,1.4630109071731567
2432,9.896263649892168e-05,5.0590207613403395e-08,0.0,9.896263649892168e-05,5.0590207613403395e-08,0.0,0.0,0.0,0.0
2433,3.055533658690707e-05,5.6975201302384793e-08,0.0,3.055533658690707e-05,5.6975201302384793e-08,0.0,0.0,0.0,0.0
2434,1.1080573853882494e-05,5.334761603196824e-08,0.0,1.1080573853882494e-05,5.334761603196824e-08,0.0,0.0,0.0,0.0
2435,3.0120896087919832e-05,4.9786978485327996e-08,0.0,3.0120896087919832e-05,4.9786978485327996e-08,0.0,0.0,0.0,0.0
2437,0.00020171853211402584,5.3432960733761044e-08,0.0,0.00020171853211402584,5.3432960733761044e-08,0.0,0.0,0.0,0.0
2438,3.4026344694032014e-05,5.2568792781978976e-08,0.0,3.4026344694032014e-05,5.2568792781978976e-08,0.0,0.0,0.0,0.0
2439,0.0001688967756847323,5.2341901522623886e-08,0.0,0.0001688967756847323,5.2341901522623886e-08,0.0,0.0,0.0,0.0
2440,1.5323356824518072e-05,4.823676861276659e-08,0.0,1.5323356824518072e-05,4.823676861276659e-08,0.0,0.0,0.0,0.0
2441,2.1018181466019153e-05,4.847603028214488e-08,0.0,2.1018181466019153e-05,4.847603028214488e-08,0.0,0.0,0.0,0.0
2443,0.00012397480528346253,4.197727553266513e-08,0.0,0.00012397480528346253,4.197727553266513e-08,0.0,0.0,0.0,0.0
2444,5.2692341362126845e-06,5.234621576217069e-08,0.0,5.2692341362126845e-06,5.234621576217069e-08,0.0,0.0,0.0,0.0
2445,2.2602577325536178e-05,4.475162873581889e-08,0.0,2.2602577325536178e-05,4.475162873581889e-08,0.0,0.0,0.0,0.0
2446,0.00015934834157541535,4.801633153209408e-08,0.0,0.00015934834157541535,4.801633153209408e-08,0.0,0.0,0.0,0.0
2447,6.404101059869795e-05,5.200365854092585e-08,0.0,6.404101059869795e-05,5.200365854092585e-08,0.0,0.0,0.0,0.0
