patch_index,cross_engine_lsd_db,context_leakage_lsd_db
431,8.047671650019092e-05,0.0
432,8.847636157306605,8.623499682595751
433,4.950506973224283e-05,0.0
434,8.327813755084245e-05,0.0
435,0.0001309879166001,0.0
436,4.541046594321734e-05,0.0
437,3.249846523164164e-05,0.0
438,4.6306137916963034e-05,0.0
439,7.542429311641147e-05,0.0
440,4.628315809835003e-05,0.0
441,0.0001756373812116,0.0
442,0.0001575778010094,0.0
443,2.434202472322307e-05,0.0
444,11.014712262654491,11.24650981229746
445,7.587668700424623e-05,0.0
446,8.163560562617776e-06,0.0
447,1.0066143239068218e-05,0.0
448,2.7750765491985623e-05,0.0
449,6.255675821106071e-05,0.0
450,5.582810888774577e-06,0.0
451,9.473578815088756e-06,0.0
452,0.0001007895021467,0.0
455,0.0003243387163039,0.0
456,10.854373437198795,8.876617477290274
457,10.984583243657504,12.053990947556828
458,8.884709888348567e-05,0.0
459,4.341813234671947e-05,0.0
460,0.0001039427688513,0.0
461,5.492284736459256,5.083917869781561
462,6.502664069770756e-06,0.0
463,4.133132569220926e-05,0.0
464,3.9884416428271335e-05,0.0
465,5.749310017110942e-06,0.0
466,2.6754583142103106e-05,0.0
468,0.0001907529862195,0.0
469,1.43821085470029e-05,0.0
471,0.0001032431040964,0.0
472,0.0001388696495593,0.0
473,6.808931185797913e-06,0.0
474,1.884762013121773e-05,0.0
476,0.0001452028932684,0.0
477,8.345394058360032,8.857655870547449
478,8.342215264766694e-06,0.0
479,2.9077610141324782e-05,0.0
480,3.579348542976104e-05,0.0
481,0.000146832072412,0.0
482,4.0551005876529296e-05,0.0
483,1.5241691700251638e-05,0.0
484,1.888223478889926e-05,0.0
485,0.0001460699517319,0.0
486,7.7849159794109e-05,0.0
487,3.685002822313629e-05,0.0
488,4.9814408986276094e-05,0.0
489,4.5146490589278854e-06,0.0
490,6.588028976259451,7.094659358700796
491,2.0771453836679407e-05,0.0
492,5.003774348660844e-05,0.0
493,6.251567081853728e-05,0.0
494,4.513669147331131,4.5585580345673336
495,0.0002323324529551,0.0
496,3.091742782126388e-05,0.0
497,6.191025914065266e-05,0.0
498,12.273472439917668,11.484345730666123
499,1.99569418165685e-05,0.0
500,0.0005414708506515,0.0
501,0.0001477077664867,0.0
502,5.78644485616428,5.684436967249529
